version,topologia,error_final_notebook,mse_final,accuracy_entrenamiento,segundos
Original del curso,4-3-3,0.0627910453770139,0.020930348459004627,0.96,9.066687644000012
Control corregido,4-3-3,0.059607613286943174,0.01986920442898106,0.9666666666666667,5.874068072
Profunda corregida,4-3-3-3-3,0.4064238328179617,0.13547461093932056,0.7066666666666667,9.992387502000042
