version,topologia,loss_ultima_epoca,mse_final,accuracy_entrenamiento,segundos
Original,4-3-3,0.15090695023536682,0.15083876252174377,0.6666666666666666,34.849086994000004
Profunda,4-3-3-3-3,0.22171808779239655,0.22171393036842346,0.5,36.13081558800002
